0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0.0,5.338e-42,2.357e-41,3.4538e-41,3.1756e-41,2.6329e-41,3.5124e-41,2.522e-42,5.05e-42,2.9003e-41,1.121e-41,2.312e-42,3.4989e-41,4.0468e-41,3.0114e-41,1.1691e-41,6.253e-42,9.373e-42,3.4958e-41,9.791e-42,6.618e-42,3.2838e-41,2.8232e-41,2.983e-42,1.596e-42,3.3261e-41,-2.961e-42,2.3375e-41,3.322e-41,3.0642e-41,3.421e-41,9.18e-43,5.6e-42,3.0387e-41,5.087e-42,4.589e-42,3.5115e-41,5.775e-42,5.758e-42
0.40732825,0.0,0.54392,0.54473644,0.5451564,0.54530114,0.5450186,0.5452551,0.54751956,0.54784,0.5482345,0.5439406,0.54903126,0.54524344,0.54506356,0.54381156,0.54977745,0.54977757,0.545228,0.549543,0.5489908,0.5490158,0.5455063,0.54413855,0.54930377,0.5489601,0.54443944,0.54239166,0.5432521,0.54250777,0.5441657,0.5492853,0.54871476,0.5481977,0.5479668,0.5493665,0.5488079,0.5493523,0.5483762
0.39266154,0.3941118,0.0,0.5487021,-2.0109e-41,-3.9127e-41,-1.05e-41,-4.0587e-41,-3.115e-41,-2.926e-41,2.364e-41,2.8962e-41,-3.4067e-41,-1.8797e-41,2.375e-42,-5.504e-42,-2.8351e-41,-2.0991e-41,-2.5286e-41,-1.0144e-41,-4.0527e-41,-3.1194e-41,2.382e-42,2.435e-42,-2.8934e-41,-2.3671e-41,7.35e-42,7.794e-42,-2.2376e-41,2.355e-41,-2.546e-41,-1.9041e-41,-2.6562e-41,-1.2444e-41,4.776e-42,-3.9182e-41,-2.6734e-41,-3.5622e-41,-7.922e-42
0.40864736,0.4148795,0.38879347,0.0,-3.3319e-41,3.7928e-41,9.32e-43,2.7027e-41,1.1458e-41,3.2254e-41,2.554e-41,2.017e-41,-1.1464e-41,-4.0505e-41,-1.2243e-41,-1.5505e-41,1.2551e-41,-1.6566e-41,5.108e-42,9.041e-42,2.6634e-41,-1.0203e-41,2.0019e-41,1.9101e-41,-1.1737e-41,-2.1709e-41,-5.17e-43,-1.0308e-41,-3.74e-42,3.453e-42,-2.8567e-41,8.376e-42,2.7453e-41,-3.1966e-41,1.0438e-41,-3.696e-41,4.0408e-41,-3.4957e-41,2.93e-42
0.38585222,0.3860325,0.3834703,0.3923038,0.0,1.1649e-41,1.3989e-41,1.8238e-41,6.24e-42,5.046e-42,-3.8733e-41,3.559e-41,1.454e-41,-1.6576e-41,-3.0548e-41,2.73e-43,8.032e-42,1.0075e-41,-3.0695e-41,1.3929e-41,3.01e-43,-1.1827e-41,-2.6066e-41,-2.364e-42,9.07e-43,1.89e-42,-1.193e-42,-2.4385e-41,-2.728e-42,8.373e-42,9.298e-42,8.355e-42,1.5044e-41,2.6609e-41,-6.197e-42,2.4454e-41,1.5508e-41,3.6323e-41,1.9949e-41
0.40800604,0.4138214,0.41022024,0.41211635,0.41214702,0.0,8.377e-42,-2.4401e-41,-2.2726e-41,-2.9367e-41,1.1013e-41,-1.9105e-41,-3.0631e-41,-1.8323e-41,-7.141e-42,7.584e-42,4.68e-43,-1.4449e-41,-4.585e-42,-1.8909e-41,-1.9837e-41,-1.8281e-41,2.7103e-41,2.6532e-41,-2.161e-41,-2.2379e-41,-1.74e-41,-1.6926e-41,-8.199e-42,-1.6352e-41,-1.0096e-41,-1.0609e-41,-2.2621e-41,-8.004e-42,-1.752e-41,-1.583e-41,-2.2519e-41,-2.044e-41,-1.897e-41
0.41118354,0.4121075,0.40440077,0.41239223,0.0027085764,1.752e-41,0.0,-1.4777e-41,-1.2843e-41,3.4026e-41,1.085e-42,-1.7106e-41,-1.8015e-41,-7.702e-42,-1.7844e-41,-2.1012e-41,-6.715e-42,-8.231e-42,-1.6992e-41,5.581e-42,1.9828e-41,-1.9471e-41,-4.885e-42,-1.435e-42,-3.7852e-41,2.48e-42,1.4552e-41,-3.85e-43,3.2625e-41,3.9462e-41,2.061e-42,3.065e-42,1.9568e-41,2.3036e-41,7.526e-42,1.966e-42,-7.023e-42,-3.069e-42,2.5452e-41
0.018236224,0.011055206,0.010334971,0.017860757,0.013405316,2.52929e-09,4.821039e-26,0.0,-4.373e-42,2.78e-42,-5.737e-42,6.293e-42,-1.2421e-41,2.5626e-41,4.998e-42,-4.8e-43,-6.984e-42,-2.645e-41,-7.158e-42,1.8067e-41,-3.8418e-41,1.9706e-41,1.29e-43,-2.817e-42,-6.054e-42,2.21e-41,-3.8666e-41,3.9574e-41,-1.93e-42,0.5876269,0.5922173,0.5879982,0.58758855,0.58747,0.58850294,0.58912706,0.59061444,0.5898081,0.58917785
4.097807e-39,0.0055955243,9.063873e-17,0.01674791,0.018837767,0.0060615838,1.2996e-41,-3.2788e-41,0.0,0.59171444,0.5891785,0.58906484,0.58910155,0.5902666,0.58965874,0.58821756,0.58958226,0.591393,0.5918843,0.5881288,0.5880444,0.5920297,0.589841,0.58825266,0.5872708,0.5887555,0.5891033,0.5895361,0.5915838,0.58928406,0.5910837,0.58919823,0.59029716,0.5910345,0.59025645,0.59119296,0.590825,0.21679159,0.32256687
0.012310021,-3.8042825e-31,1.03115035e-20,0.0073106103,0.0028501246,1.13382264e-07,8.861552e-12,0.026273875,0.018049773,0.0,0.23024571,0.21980019,0.21569498,0.24304329,0.25708383,0.30567062,0.27509457,0.25752583,0.3101757,0.26025692,0.2588201,0.2582391,0.28299385,0.27185053,0.23515742,0.26960915,0.30687872,0.31730494,0.23121844,0.22938715,0.3200573,0.27222878,0.23698227,0.20954359,0.24805635,0.2578547,0.2665071,0.30969146,0.25959405
0.008832904,0.02303571,0.0038937118,1.9088196e-08,5.7021757e-12,1.0247086e-34,1.2563e-41,2.1441445e-15,1.9531051e-20,1.2363048e-15,0.0,0.29985666,0.25909048,0.28557053,0.298388,0.28574583,0.30354762,0.2948567,0.83485484,0.809149,0.8348837,0.8358315,0.8344397,0.8337519,0.8321937,0.81467766,0.81377125,0.8326281,0.8047381,0.83338624,0.83422637,0.83401847,0.80715233,0.80801475,0.83236295,0.80947715,0.80601436,0.8136487,0.8329494
