0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0.0,1.5852447,1.5928606,1.5826603,1.5852718,1.5852122,1.5834764,1.5848879,1.5826125,1.6020226,1.5829252,1.5833976,1.5837408,1.5828478,1.6019901,1.602937,1.6018239,1.5836328,1.5831003,1.6026313,1.5826877,1.5829585,1.5852966,1.5852668,1.5829252,1.5851452,1.6018347,1.5927869,1.5847368,1.5830843,1.5837677,1.5835849,1.5849508,1.5847862,1.6021165,1.6023369,1.5851787,1.5828085,1.583375
1.5604714,0.0,0.49075904,0.4594038,0.51238495,0.41643938,0.4149045,0.51211745,0.41632771,0.5142115,0.49138176,0.5145475,0.51036906,0.50969964,0.51156247,0.49064657,0.4902647,0.48956707,0.5110715,0.51286507,0.48860514,0.5134726,0.51166815,0.42009842,0.41622934,0.51069695,0.41608655,0.49115318,0.4607097,0.4162052,0.5115951,0.5116633,0.51095885,0.4184117,0.42393705,0.49076083,0.48935014,0.4114141,0.5126342
1.5593997,1.5559863,0.0,0.51154035,0.5645351,0.20897251,1.6166615,0.20171532,0.19506633,1.5823767,0.19515702,1.5988116,0.564458,1.5823969,1.557916,1.5627482,1.5923935,0.5591645,0.56654435,0.5455863,1.6043968,1.5973816,0.54560405,1.6311877,1.5792828,0.2156528,0.196949,1.5936949,0.20238315,0.558735,0.4052089,0.19041224,1.6042541,1.569448,1.592035,0.21448591,0.23744364,0.5648363,0.5468994
1.5554553,1.5600787,1.5561268,0.0,0.18255936,1.5871385,1.5712737,5.58e-43,7.33e-43,2.12e-43,7.86e-43,3.35e-43,-2.83e-43,3.2e-43,3.55e-43,7.88e-43,5.45e-43,5.62e-43,1.39e-43,9.71e-43,1.19e-42,5e-43,8.59e-43,2.97e-43,5.86e-43,3.83e-43,7.12e-43,1.263e-42,1.95e-43,9.32e-43,7.08e-43,6.53e-43,1.63e-43,1.01e-42,6.07e-43,2.34e-43,2.4e-43,2.44e-43,3.77e-43
1.577056,1.5656973,1.5556521,1.560038,0.0,7.2e-43,8.86e-43,-8e-44,4.95e-43,1.024e-42,6.1e-43,0.4200324,0.3307689,0.38076094,0.43332064,0.32833725,0.43274277,0.32832056,0.4350646,0.4206455,0.43511748,0.4309028,0.4302195,0.4323648,0.41987488,0.4194633,0.4189861,0.43183848,0.43362245,0.4178243,0.43454352,0.43229765,0.3338432,0.32853523,0.4315158,0.32896706,0.42046627,0.3825389,0.32728022
1.5590549,1.5597641,1.5555376,1.5556493,1.578607,0.0,0.43240774,0.43215793,0.43160725,0.33183187,0.3375044,0.4202262,0.41866726,0.32275516,0.43328342,0.43212816,0.37512535,0.33436823,0.35738084,0.3771324,0.33416605,0.37686458,0.33392745,0.37770644,0.37535107,0.37759876,0.37624365,0.3759848,0.3767883,0.3750001,0.374941,0.374689,0.37660846,0.37719753,0.37422913,0.3776048,0.3767161,0.3359108,0.33412838
1.5774558,1.5565281,1.5593432,1.5592469,1.0581e-41,8.838e-42,0.0,0.37653458,0.33319902,0.3752736,0.3582084,0.33333552,0.37680838,0.37662917,0.37649137,0.3343889,0.3374145,0.37526223,0.37458664,0.3304901,0.37702155,0.37666175,-4.08e-43,-1.2074e-41,-1.2425e-41,-1.1573e-41,-1.2034e-41,-1.1468e-41,-2.4e-44,1.1376e-41,-1.2408e-41,-1.1446e-41,-7.674e-42,-1.2571e-41,-1.1593e-41,-8e-43,-6.66e-43,-1.2299e-41,-1.1809e-41
-1.1848e-41,-5.279e-42,-8.346e-42,-1.317e-42,1.1157e-41,-9.775e-42,-1.1663e-41,0.0,-1.2369e-41,-1.2078e-41,-1.2181e-41,-8.373e-42,-1.2407e-41,-1.1921e-41,-1.2086e-41,-1.1463e-41,7.1e-44,-1.0441e-41,-1.0085e-41,-1.1649e-41,-1.1737e-41,-1.2246e-41,-1.0818e-41,-1.1505e-41,-1.1889e-41,3.35e-43,-1.152e-41,-1.1453e-41,1.1775e-41,0.3434086,0.2809249,0.31431434,0.34177127,0.27948347,0.27910486,0.34100816,0.34177747,0.34313554,0.34180114
7.054e-42,-7.699e-42,6.623e-42,6.653e-42,4.23e-43,-1.0972e-41,-1.0866e-41,-1.0557e-41,0.0,0.33894548,0.34012192,0.340614,0.3428748,0.3432744,0.341929,0.34139928,0.34116527,0.34179196,0.34197205,0.33975014,0.2828018,0.27930555,0.33952892,0.27987963,0.34294906,0.31671876,0.27744988,0.3407019,0.34089965,0.340621,0.28225347,0.285929,0.34277132,0.3421903,0.27501202,0.3408055,0.340426,-6.216e-42,2.661e-42
8.258e-42,7.525e-42,-1.0501e-41,8.217e-42,-1.1439e-41,-7.641e-42,7.301e-42,6.624e-42,-1.1056e-41,0.0,3.244e-42,2.375e-42,-1.1702e-41,7.75e-42,1.2064e-41,-4.99e-43,1.1691e-41,4.956e-42,2.32e-42,2.692e-42,2.864e-42,-2.307e-42,7.11e-42,-1.2109e-41,1.1998e-41,1.2053e-41,1.2324e-41,7.756e-42,1.572e-42,-1.11e-42,-8.461e-42,1.1883e-41,-2.372e-42,1.02e-43,-2.543e-42,3.011e-42,3.294e-42,2.932e-42,1.2288e-41
-7.696e-42,8.373e-42,8.084e-42,7.672e-42,4.414e-42,-7.556e-42,-6.928e-42,-1.123e-41,-1.0846e-41,-1.1045e-41,0.0,-2.499e-42,2.857e-42,-3.234e-42,1.2299e-41,-1.1442e-41,2.402e-42,3.135e-42,1.5847561,1.5592633,1.5710082,1.5610895,1.5592929,1.5591706,1.5629659,1.5590528,1.5614363,1.5623764,1.5626087,1.5631515,1.5614775,1.5842543,1.5860325,1.5829449,1.5629088,1.5622435,1.5849739,1.561221,1.5618844
1.2479e-41,2.417e-42,-7.746e-42,1.2107e-41,1.2032e-41,1.239e-41,1.0974e-41,1.2452e-41,1.2123e-41,-1.156e-41,-2.108e-42,0.0,1.5593436,1.5594925,1.5614612,1.5590869,1.5838152,1.5708809,1.5589008,1.5619253,1.5635695,1.5629294,1.5591109,1.5589646,1.5834291,1.5843525,1.5589187,1.5617199,1.5627077,5.497e-42,-5.046e-42,-1.1782e-41,-1.1645e-41,7.696e-42,-1.2494e-41,-1.1753e-41,3.317e-42,-1.2121e-41,6.488e-42
1.1604e-41,1.0961e-41,1.0494e-41,1.0468e-41,1.1304e-41,7.858e-42,8.713e-42,-1.2053e-41,7.009e-42,1.1335e-41,-1.2358e-41,1.2253e-41,0.0,-1.2603e-41,-1.2215e-41,-1.1713e-41,2.955e-42,1.2486e-41,3.313e-42,-1.2385e-41,-1.1809e-41,1.2564e-41,-1.2399e-41,-5.513e-42,1.063e-41,-1.2544e-41,-6.688e-42,-1.698e-42,2.448e-42,1.1601e-41,-3.893e-42,-1.1945e-41,-1.1697e-41,-1.2446e-41,1.1673e-41,-1.0643e-41,1.2149e-41,-1.1636e-41,-1.2572e-41
